CustomerNo,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_segment,RFM_score,Segment
12004.0,228,1,1509.6,2,1,2,212,5,At Risk
12006.0,219,1,24.76,3,1,1,311,5,At Risk
12008.0,277,1,5689.57,2,1,3,213,6,Potential Loyalist
12013.0,360,1,69.96000000000001,1,1,1,111,3,At Risk
12024.0,177,1,149.51999999999998,3,1,1,311,5,At Risk
12025.0,288,1,1021.59,2,1,1,211,4,At Risk
12026.0,340,1,20486.32,1,1,5,115,7,Potential Loyalist
12031.0,71,1,136.18,5,1,1,511,7,Potential Loyalist
12042.0,265,1,6296.7699999999995,2,1,3,213,6,Potential Loyalist
12043.0,158,1,1235.59,3,1,1,311,5,At Risk
12050.0,149,1,141.67000000000002,4,1,1,411,6,Potential Loyalist
12057.0,32,2,4816.81,5,1,3,513,9,Loyal Customers
12060.0,366,1,36.75,1,1,1,111,3,At Risk
12063.0,218,1,39.33,3,1,1,311,5,At Risk
12067.0,18,1,14293.33,5,1,4,514,10,Loyal Customers
12071.0,366,1,23189.62,1,1,5,115,7,Potential Loyalist
12078.0,285,1,2667.2599999999998,2,1,2,212,5,At Risk
12080.0,185,1,14378.82,3,1,4,314,8,Potential Loyalist
12081.0,359,1,13.27,1,1,1,111,3,At Risk
12082.0,298,1,32.89,2,1,1,211,4,At Risk
12087.0,185,1,857.34,3,1,1,311,5,At Risk
12089.0,265,1,1179.53,2,1,1,211,4,At Risk
12090.0,185,1,736.23,3,1,1,311,5,At Risk
12093.0,185,1,1961.44,3,1,2,312,6,Potential Loyalist
12100.0,248,1,10683.71,2,1,4,214,7,Potential Loyalist
12115.0,9,2,14211.470000000001,5,1,4,514,10,Loyal Customers
12116.0,166,1,2076.5099999999998,3,1,2,312,6,Potential Loyalist
12120.0,166,1,454.16,3,1,1,311,5,At Risk
12128.0,330,1,472.13,1,1,1,111,3,At Risk
12130.0,32,1,63.56,5,1,1,511,7,Potential Loyalist
12134.0,78,1,7825.83,4,1,4,414,9,Loyal Customers
12151.0,176,1,215.29,3,1,1,311,5,At Risk
12154.0,339,1,9140.619999999999,1,1,4,114,6,Potential Loyalist
12160.0,120,1,51.2,4,1,1,411,6,Potential Loyalist
12161.0,157,1,48.53,3,1,1,311,5,At Risk
12165.0,256,1,1283.18,2,1,1,211,4,At Risk
12167.0,256,1,1457.46,2,1,2,212,5,At Risk
12171.0,309,1,1921.96,1,1,2,112,4,At Risk
12174.0,43,1,111.75,5,1,1,511,7,Potential Loyalist
12185.0,50,1,8369.02,5,1,4,514,10,Loyal Customers
12202.0,71,1,6810.79,5,1,4,514,10,Loyal Customers
12204.0,239,1,544.48,2,1,1,211,4,At Risk
12205.0,239,1,1016.4,2,1,1,211,4,At Risk
12214.0,296,1,10198.44,2,1,4,214,7,Potential Loyalist
12221.0,108,2,16948.03,4,1,5,415,10,Loyal Customers
12230.0,108,1,16299.9,4,1,5,415,10,Loyal Customers
12231.0,176,1,5513.19,3,1,3,313,7,Potential Loyalist
12236.0,166,1,65.52,3,1,1,311,5,At Risk
12237.0,369,1,22960.43,1,1,5,115,7,Potential Loyalist
12240.0,166,1,3656.61,3,1,3,313,7,Potential Loyalist
12242.0,166,2,499.9,3,1,1,311,5,At Risk
12245.0,146,2,2779.77,4,1,2,412,7,Potential Loyalist
12251.0,369,1,1280.78,1,1,1,111,3,At Risk
12252.0,369,1,344.71999999999997,1,1,1,111,3,At Risk
12253.0,369,1,2184.44,1,1,2,112,4,At Risk
12255.0,318,1,5592.11,1,1,3,113,5,At Risk
12256.0,2,2,6600.63,5,1,3,513,9,Loyal Customers
12278.0,239,1,8417.1,2,1,4,214,7,Potential Loyalist
12286.0,99,1,1567.91,4,1,2,412,7,Potential Loyalist
12290.0,145,1,642.38,4,1,1,411,6,Potential Loyalist
12293.0,201,2,1332.27,3,1,1,311,5,At Risk
12309.0,37,1,12.86,5,1,1,511,7,Potential Loyalist
12321.0,191,2,561.99,3,1,1,311,5,At Risk
12324.0,173,3,6207.42,3,1,3,313,7,Potential Loyalist
12325.0,227,1,104.32,2,1,1,211,4,At Risk
12336.0,191,1,638.92,3,1,1,311,5,At Risk
12338.0,215,1,825.42,3,1,1,311,5,At Risk
12340.0,227,1,4866.7699999999995,2,1,3,213,6,Potential Loyalist
12346.0,326,2,0.0,1,1,1,111,3,At Risk
12347.0,3,8,38307.42,5,1,5,515,11,Loyal Customers
12348.0,76,4,25377.36,4,1,5,415,10,Loyal Customers
12349.0,19,1,7951.1,5,1,4,514,10,Loyal Customers
12350.0,128,2,2371.9,4,1,2,412,7,Potential Loyalist
12352.0,37,8,6042.84,5,1,3,513,9,Loyal Customers
12353.0,205,1,296.24,3,1,1,311,5,At Risk
12354.0,233,1,6356.94,2,1,3,213,6,Potential Loyalist
12355.0,215,1,2930.62,3,1,2,312,6,Potential Loyalist
12356.0,23,4,20298.05,5,1,5,515,11,Loyal Customers
12357.0,34,1,33893.72,5,1,5,515,11,Loyal Customers
12358.0,2,3,23772.82,5,1,5,515,11,Loyal Customers
12359.0,8,6,23763.66,5,1,5,515,11,Loyal Customers
12360.0,53,3,13959.64,5,1,4,514,10,Loyal Customers
12361.0,288,1,922.62,2,1,1,211,4,At Risk
12362.0,4,13,24198.57,5,1,5,515,11,Loyal Customers
12363.0,110,2,4747.08,4,1,3,413,8,Potential Loyalist
12364.0,8,5,15842.75,5,1,5,515,11,Loyal Customers
12365.0,292,1,2101.83,2,1,2,212,5,At Risk
12367.0,5,2,1268.6000000000001,5,1,1,511,7,Potential Loyalist
12370.0,52,4,27585.329999999998,5,1,5,515,11,Loyal Customers
